@FabioCosta36;#Estela40;Sun Sep 09 14:23:36 GMT-03:00 2012;
@Poli_Figueiredo;#Estela40;Sun Sep 09 14:42:27 GMT-03:00 2012;
@valjvf;Estelizabel;Sun Sep 09 15:03:37 GMT-03:00 2012;
@mylena__munike;Estelizabel;1347216898000;
@mylena__munike;Estelizabel;1347216923000;
@herbertfitipald;Estelizabel;1347217160000;
@RaffaelLima_;#Estela40;1347218091000;
@RaffaelLima_;#Estela40;1347218191000;
@isaacroosevelt;#Estela40;1347219236000;
@RaffaelLima_;#Estela40;1347219385000;
@Ceissa_Med;#Estela40;1347219519000;
@yas_bdf;#Estela40;1347219522000;
@Ceissa_Med;#Estela40;1347219570000;
@Ceissa_Med;#Estela40;1347219599000;
@RaffaelLima_;#Estela40;1347219630000;
@RaffaelLima_;#Estela40;1347219738000;
@Ceissa_Med;#Estela40;1347219772000;
@AzazelCoutinho;Estelizabel;1347220333000;
@RaffaelLima_;#Estela40;1347220526000;
@herbertfitipald;#Estela40;1347220559000;
@lidialbu;#Estela40;1347220741000;
